nl2	ld	deg	AI	maxAC	sigma
202	118	7	4	48	343424
202	116	7	4	48	343424
210	116	7	4	48	343424
206	116	7	4	48	343424
212	116	7	4	48	343424
200	116	7	4	48	343424
214	118	7	4	48	343424
214	116	7	4	48	343424
206	116	7	4	48	343424
208	116	7	4	48	343424
210	116	7	5	48	343424
210	116	7	4	48	343424
212	116	7	4	48	343424
204	116	7	4	48	343424
216	116	7	4	48	343424
218	116	7	5	48	343424
210	116	7	4	48	343424
210	116	7	4	48	343424
214	116	7	4	48	343424
216	116	7	4	48	343424
216	116	7	5	48	343424
214	116	7	4	48	343424
222	116	7	4	48	343424
224	116	7	5	48	343424
210	118	7	4	48	343424
214	116	7	5	48	343424
218	116	7	4	48	343424
218	116	7	5	48	343424
216	116	7	5	48	343424
216	116	7	5	48	343424
220	118	7	5	48	343424
222	116	7	5	48	343424
202	116	7	4	48	343424
198	116	7	4	48	343424
214	116	7	5	48	343424
214	116	7	4	48	343424
212	116	7	4	48	343424
208	116	7	4	48	343424
216	116	7	4	48	343424
214	116	7	5	48	343424
208	118	7	5	48	343424
208	116	7	4	48	343424
210	116	7	4	48	343424
214	116	7	4	48	343424
214	116	7	5	48	343424
212	116	7	4	48	343424
220	118	7	5	48	343424
220	116	7	4	48	343424
208	118	7	4	48	343424
216	116	7	5	48	343424
214	116	7	5	48	343424
214	116	7	5	48	343424
220	116	7	4	48	343424
218	116	7	5	48	343424
220	118	7	5	48	343424
224	116	7	5	48	343424
214	116	7	4	48	343424
220	116	7	4	48	343424
218	116	7	5	48	343424
218	116	7	5	48	343424
220	116	7	4	48	343424
218	116	7	5	48	343424
226	116	7	5	48	343424
228	116	7	5	48	343424
216	116	7	4	48	343424
208	116	7	4	48	343424
212	116	7	4	48	343424
212	116	7	4	48	343424
216	116	7	5	48	343424
208	116	7	4	48	343424
222	116	7	4	48	343424
214	116	7	5	48	343424
218	118	7	5	48	343424
210	116	7	4	48	343424
218	116	7	5	48	343424
212	116	7	5	48	343424
222	116	7	5	48	343424
214	116	7	5	48	343424
220	118	7	4	48	343424
214	116	7	5	48	343424
216	118	7	5	48	343424
212	116	7	4	48	343424
220	116	7	5	48	343424
214	116	7	4	48	343424
216	116	7	4	48	343424
212	116	7	4	48	343424
220	118	7	5	48	343424
218	116	7	4	48	343424
218	116	7	5	48	343424
212	116	7	5	48	343424
218	116	7	5	48	343424
214	116	7	5	48	343424
220	116	7	4	48	343424
218	116	7	4	48	343424
222	116	7	4	48	343424
220	116	7	5	48	343424
216	118	7	4	48	343424
214	116	7	5	48	343424
214	116	7	4	48	343424
216	116	7	5	48	343424
214	116	7	5	48	343424
214	116	7	5	48	343424
218	118	7	5	48	343424
220	116	7	5	48	343424
214	116	7	4	48	343424
214	116	7	4	48	343424
216	116	7	4	48	343424
214	116	7	4	48	343424
214	116	7	4	48	343424
218	116	7	4	48	343424
222	116	7	5	48	343424
222	116	7	4	48	343424
216	116	7	4	48	343424
220	116	7	4	48	343424
216	116	7	4	48	343424
220	116	7	5	48	343424
216	116	7	5	48	343424
216	116	7	5	48	343424
224	116	7	5	48	343424
224	116	7	5	48	343424
218	118	7	4	48	343424
218	116	7	5	48	343424
218	116	7	5	48	343424
220	116	7	5	48	343424
218	116	7	5	48	343424
222	116	7	5	48	343424
222	118	7	4	48	343424
222	116	7	5	48	343424
224	116	7	4	48	343424
214	116	7	4	48	343424
218	116	7	5	48	343424
208	116	7	4	48	343424
222	116	7	4	48	343424
208	116	7	4	48	343424
220	116	7	4	48	343424
208	116	7	5	48	343424
220	118	7	5	48	343424
212	116	7	4	48	343424
220	116	7	4	48	343424
208	116	7	4	48	343424
220	116	7	5	48	343424
208	116	7	4	48	343424
216	118	7	5	48	343424
206	116	7	4	48	343424
226	118	7	5	48	343424
214	116	7	4	48	343424
222	116	7	5	48	343424
206	116	7	5	48	343424
222	116	7	5	48	343424
210	116	7	5	48	343424
220	118	7	4	48	343424
208	116	7	5	48	343424
220	116	7	4	48	343424
212	116	7	4	48	343424
220	116	7	4	48	343424
204	116	7	4	48	343424
218	116	7	4	48	343424
210	116	7	4	48	343424
218	116	7	5	48	343424
208	116	7	4	48	343424
216	118	7	5	48	343424
222	116	7	4	48	343424
212	116	7	4	48	343424
218	116	7	4	48	343424
218	116	7	5	48	343424
222	116	7	4	48	343424
214	118	7	5	48	343424
220	116	7	4	48	343424
220	116	7	5	48	343424
220	116	7	4	48	343424
212	116	7	4	48	343424
216	116	7	5	48	343424
216	116	7	4	48	343424
216	116	7	4	48	343424
216	116	7	5	48	343424
212	116	7	5	48	343424
216	116	7	5	48	343424
222	116	7	5	48	343424
212	116	7	4	48	343424
222	116	7	4	48	343424
214	116	7	5	48	343424
222	116	7	5	48	343424
214	116	7	4	48	343424
218	116	7	5	48	343424
220	118	7	5	48	343424
218	116	7	4	48	343424
216	116	7	4	48	343424
218	116	7	5	48	343424
218	116	7	4	48	343424
214	116	7	4	48	343424
218	118	7	4	48	343424
216	116	7	4	48	343424
210	118	7	4	48	343424
222	116	7	5	48	343424
218	116	7	5	48	343424
222	116	7	5	48	343424
214	116	7	4	48	343424
220	116	7	5	48	343424
214	118	7	5	48	343424
220	116	7	5	48	343424
210	116	7	5	48	343424
210	116	7	5	48	343424
214	116	7	4	48	343424
218	116	7	4	48	343424
214	116	7	5	48	343424
218	116	7	5	48	343424
216	116	7	4	48	343424
216	116	7	5	48	343424
210	116	7	4	48	343424
214	116	7	4	48	343424
216	116	7	4	48	343424
218	116	7	4	48	343424
210	116	7	4	48	343424
214	116	7	4	48	343424
208	116	7	5	48	343424
218	116	7	4	48	343424
206	118	7	5	48	343424
218	116	7	4	48	343424
210	116	7	4	48	343424
218	116	7	5	48	343424
210	116	7	4	48	343424
216	116	7	5	48	343424
214	118	7	4	48	343424
216	116	7	5	48	343424
214	116	7	4	48	343424
222	116	7	4	48	343424
220	116	7	5	48	343424
218	116	7	5	48	343424
214	116	7	4	48	343424
222	116	7	5	48	343424
218	116	7	5	48	343424
222	116	7	5	48	343424
214	118	7	5	48	343424
218	116	7	4	48	343424
214	116	7	4	48	343424
222	116	7	5	48	343424
212	116	7	4	48	343424
214	116	7	4	48	343424
216	118	7	4	48	343424
218	116	7	4	48	343424
210	118	7	4	48	343424
218	116	7	5	48	343424
214	116	7	5	48	343424
216	116	7	5	48	343424
210	116	7	5	48	343424
218	116	7	5	48	343424
214	118	7	4	48	343424
220	116	7	5	48	343424
212	116	7	5	48	343424
218	116	7	5	48	343424
212	116	7	4	48	343424
214	116	7	5	48	343424
210	116	7	5	48	343424
214	116	7	4	48	343424
216	116	7	5	48	343424
214	116	7	4	48	343424
214	116	7	4	48	343424
212	116	7	4	48	343424
212	116	7	4	48	343424
212	116	7	4	48	343424
218	116	7	5	48	343424
214	116	7	4	48	343424
212	116	7	4	48	343424
220	116	7	5	48	343424
220	118	7	4	48	343424
218	116	7	5	48	343424
208	116	7	5	48	343424
216	116	7	5	48	343424
224	116	7	4	48	343424
218	116	7	5	48	343424
220	118	7	5	48	343424
224	116	7	5	48	343424
212	118	7	5	48	343424
212	116	7	4	48	343424
214	116	7	5	48	343424
204	116	7	4	48	343424
212	116	7	4	48	343424
216	116	7	4	48	343424
220	118	7	5	48	343424
212	116	7	4	48	343424
208	116	7	4	48	343424
220	116	7	4	48	343424
216	116	7	4	48	343424
216	116	7	5	48	343424
218	116	7	5	48	343424
220	116	7	5	48	343424
220	116	7	5	48	343424
220	116	7	5	48	343424
206	118	7	5	48	343424
210	116	7	4	48	343424
218	116	7	5	48	343424
214	116	7	5	48	343424
218	116	7	5	48	343424
220	116	7	5	48	343424
220	118	7	4	48	343424
220	116	7	5	48	343424
210	116	7	5	48	343424
214	116	7	5	48	343424
220	116	7	4	48	343424
220	116	7	4	48	343424
222	116	7	5	48	343424
222	116	7	5	48	343424
226	116	7	4	48	343424
226	116	7	5	48	343424
210	116	7	4	48	343424
202	116	7	4	48	343424
214	116	7	4	48	343424
214	116	7	4	48	343424
218	116	7	4	48	343424
